Keyword,Client,Competitor 1,Competitor 2,Competitor 3,Competitor 4,Competitor 5,Competitor 6,Competitor 7,Competitor 8,Search Volume,Keyword Difficulty,CPC,Keyword Intents,Client URL,Competitor 1 URL,Competitor 2 URL,Competitor 3 URL,Competitor 4 URL,Competitor 5 URL,Competitor 6 URL,Competitor 7 URL,Competitor 8 URL
birthday photo booth hire,37,8,21,1,16,99,99,99,99,70,6,0.85,informational,https://www.adeptphotobooths.com.au/birthdays/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/birthdays/,https://cheapestphotobooth.melbourne/,,,,
booth hire,36,3,19,58,99,99,99,99,99,70,33,1.27,informational,https://www.adeptphotobooths.com.au/mandurah/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,,,,,
cheap photo booth hire prices,86,15,34,67,1,99,99,99,99,70,5,0,transactional,https://www.adeptphotobooths.com.au/mandurah/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
cheap photo booth rental,99,21,26,55,1,99,99,99,99,70,29,1.08,informational,,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
christmas photobooth,7,99,99,99,99,99,99,99,99,70,3,0,informational,https://www.adeptphotobooths.com.au/ways-to-lift-your-christmas-photo-booth-experience/,,,,,,,,
fun photo booth hire,85,4,3,22,12,99,99,99,99,70,32,0,informational,https://www.adeptphotobooths.com.au/geelong/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
glam bot,5,99,99,99,99,99,99,99,99,70,18,3.44,"informational, transactional",https://www.adeptphotobooths.com.au/glambot/,,,,,,,,
hire of photo booths for weddings,18,2,5,14,7,99,99,99,99,70,39,1.13,informational,https://www.adeptphotobooths.com.au/weddings/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
melbourne photobooth,13,1,2,3,8,99,99,99,99,70,29,1.3,informational,https://www.adeptphotobooths.com.au/roaming-photo-booth/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
morph face,8,99,99,99,99,99,99,99,99,70,25,0.48,transactional,https://www.adeptphotobooths.com.au/face-morphing/,,,,,,,,
online photobooth,9,99,80,99,99,99,99,99,99,70,37,0.93,informational,https://www.adeptphotobooths.com.au/virtual-photo-booth-hire/,,https://photoboothhiremelbourne.com.au/the-photo-booths/,,,,,,
party booth hire,27,2,9,11,99,99,99,99,99,70,28,0.52,commercial,https://www.adeptphotobooths.com.au/melbourne/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,,,,,
photo booth for hire near me,99,18,9,46,16,99,99,99,99,70,3,1.26,transactional,,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/photo-booth-hire-cranbourne/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
photo booth hire for events,13,2,5,14,99,99,99,99,99,70,36,1.45,informational,https://www.adeptphotobooths.com.au/roaming-photo-booth/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,,,,,
photo booth hire melbourne cheap,91,9,4,19,3,99,99,99,99,70,31,1.16,commercial,https://www.adeptphotobooths.com.au/360-photo-booth/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
photo booth machine rental,99,1,17,5,8,99,99,99,99,70,11,0.87,informational,,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,https://cheapestphotobooth.melbourne/,,,,
photo booth prices,38,99,99,16,3,99,99,99,99,70,3,0.84,commercial,https://www.adeptphotobooths.com.au/open-photo-booth/,https://shutterphotobooth.com.au/,,https://lavishphotobooths.com.au/packages/,https://cheapestphotobooth.melbourne/,,,,
photoboorh,15,4,61,11,99,99,99,99,99,70,37,1.09,commercial,https://www.adeptphotobooths.com.au/,https://shutterphotobooth.com.au/,https://photoboothhiremelbourne.com.au/,https://lavishphotobooths.com.au/,,,,,
